state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
40,Rhode Island,RI,3,1095610,361.62503080475716,117.44272922977022,0.5476401274176029,0.3498811925168019,84.11615447102527,73.11050465037742
41,South Carolina,SC,3,5190705,75.67372832784757,21.82197381115447,0.7128126140861405,0.17980858733704444,61.483902475675265,52.2466601357619
42,South Dakota,SD,3,895376,40.876681974946834,38.89826333135066,0.5584246171440824,0.48396800152487146,68.84560229445506,55.72128357248798
43,Tennessee,TN,3,6975218,79.5817421046912,28.799919125927573,0.946206985932196,0.5161129014175615,56.911052815840314,49.82654305571525
44,Texas,TX,3,29527941,35.793217007579365,22.78568240549809,0.07450570292049824,0.2506100916416759,64.72698181021156,55.38374653349517
45,Utah,UT,3,3337975,74.95562429317175,29.333438900616606,0.3894576801803489,0.21470102881737183,63.86761434702177,55.61440693833837
46,Vermont,VT,3,645570,37.17644871973605,63.08931863093302,0.4647056089967006,0.5163395655518895,85.16613225521633,73.93357807828741
47,Virginia,VA,3,8642274,119.27416325842017,38.0257061311145,0.613264518111784,0.24299160151598986,76.95291771586969,66.56104631720771
48,Washington,WA,3,7738692,68.2931947672811,21.880774093163474,0.20675328595581785,0.21536800620397692,73.53166400730252,66.2123521649395
49,West Virginia,WV,3,1782959,43.74750064359304,59.02707641782966,1.514336560739759,0.5328221232232485,90.14946501854502,71.98477362631446
50,Wisconsin,WI,3,5895908,124.93410684155859,67.9502752465899,1.6282479305986455,0.6840902763973477,66.68618302727926,60.67849091268046
51,Wyoming,WY,3,578803,30.753123256099226,16.906813347052946,0.0,0.8638517768567198,55.19390880835103,47.031891679897996
